Time,Instrument,Operation,OrderId,Side,Volume,Price,Lifespan
0.0,0,Insert,0,B,1,99,G
0.0,0,Insert,1,A,1,101,G
0.0,1,Insert,2,B,9,101,G
0.0,1,Insert,3,A,9,99,G
0.2,1,Cancel,2,,,,G
0.2,1,Cancel,3,,,,G
0.25,1,Insert,4,B,9,101,G
0.25,1,Insert,5,A,9,99,G
0.45,1,Cancel,4,,,,G
0.45,1,Cancel,5,,,,G
0.5,1,Insert,6,B,9,101,G
0.5,1,Insert,7,A,9,99,G
0.7,1,Cancel,6,,,,G
0.7,1,Cancel,7,,,,G
0.75,1,Insert,8,B,9,101,G
0.75,1,Insert,9,A,9,99,G
0.95,1,Cancel,8,,,,G
0.95,1,Cancel,9,,,,G
1.0,1,Insert,10,B,9,101,G
1.0,1,Insert,11,A,9,99,G
1.2,1,Cancel,10,,,,G
1.2,1,Cancel,11,,,,G
1.25,1,Insert,12,B,9,101,G
1.25,1,Insert,13,A,9,99,G
1.45,1,Cancel,12,,,,G
1.45,1,Cancel,13,,,,G
1.5,1,Insert,14,B,9,101,G
1.5,1,Insert,15,A,9,99,G
1.7,1,Cancel,14,,,,G
1.7,1,Cancel,15,,,,G
1.75,1,Insert,16,B,9,101,G
1.75,1,Insert,17,A,9,99,G
1.95,1,Cancel,16,,,,G
1.95,1,Cancel,17,,,,G
2.0,1,Insert,18,B,9,101,G
2.0,1,Insert,19,A,9,99,G
2.2,1,Cancel,18,,,,G
2.2,1,Cancel,19,,,,G
2.25,1,Insert,20,B,9,101,G
2.25,1,Insert,21,A,9,99,G
2.45,1,Cancel,20,,,,G
2.45,1,Cancel,21,,,,G
2.5,1,Insert,22,B,9,101,G
2.5,1,Insert,23,A,9,99,G
2.7,1,Cancel,22,,,,G
2.7,1,Cancel,23,,,,G
2.75,1,Insert,24,B,9,101,G
2.75,1,Insert,25,A,9,99,G
2.95,1,Cancel,24,,,,G
2.95,1,Cancel,25,,,,G
3.0,1,Insert,26,B,9,101,G
3.0,1,Insert,27,A,9,99,G
3.2,1,Cancel,26,,,,G
3.2,1,Cancel,27,,,,G
3.25,1,Insert,28,B,9,101,G
3.25,1,Insert,29,A,9,99,G
3.45,1,Cancel,28,,,,G
3.45,1,Cancel,29,,,,G
3.5,1,Insert,30,B,9,101,G
3.5,1,Insert,31,A,9,99,G
3.7,1,Cancel,30,,,,G
3.7,1,Cancel,31,,,,G
3.75,1,Insert,32,B,9,101,G
3.75,1,Insert,33,A,9,99,G
3.95,1,Cancel,32,,,,G
