Time,Competitor,Operation,OrderId,Instrument,Side,Volume,Price,Lifespan,Fee
0.0,,Insert,0,0,B,1,99,G,
0.0,,Insert,1,0,A,1,101,G,
0.0,,Insert,2,1,B,9,101,G,
0.0,,Insert,3,1,A,9,99,G,
0.25,Extorter,Insert,1,1,B,10,100,G,
0.25,Extorter,Insert,2,1,A,10,101,G,
0.25,Random player,Insert,1,1,B,10,100,G,
0.25,Random player,Insert,2,1,A,10,101,G,
0.25,,Insert,4,1,B,9,101,G,
0.25,Extorter,Trade,2,1,A,9,101,,-18
0.25,Extorter,Hedge,2,0,B,9,100.0,,
0.25,,Insert,5,1,A,9,99,G,
0.25,Extorter,Trade,1,1,B,9,100,,-18
0.25,Extorter,Hedge,1,0,A,9,100.0,,
0.5,,Insert,6,1,B,9,101,G,
0.5,Extorter,Trade,2,1,A,1,101,,-2
0.5,Extorter,Hedge,2,0,B,1,100.0,,
0.5,Random player,Trade,2,1,A,8,101,,-16
0.5,Random player,Hedge,2,0,B,8,100.0,,
0.5,,Insert,7,1,A,9,99,G,
0.5,Extorter,Trade,1,1,B,1,100,,-2
0.5,Extorter,Hedge,1,0,A,1,100.0,,
0.5,Random player,Trade,1,1,B,8,100,,-16
0.5,Random player,Hedge,1,0,A,8,100.0,,
0.516,Random player,Cancel,1,,,-2,,,
0.516,Random player,Cancel,2,,,-2,,,
0.516,Extorter,Insert,3,1,B,10,99,G,
0.516,Extorter,Insert,4,1,A,10,101,G,
0.516,Random player,Insert,3,1,B,10,100,G,
0.516,Random player,Insert,4,1,A,10,101,G,
0.75,Extorter,Cancel,3,,,-10,,,
0.75,Extorter,Cancel,4,,,-10,,,
0.75,Random player,Cancel,3,,,-10,,,
0.75,Random player,Cancel,4,,,-10,,,
0.75,Random player,Insert,5,1,B,10,99,G,
0.75,Random player,Insert,6,1,A,10,101,G,
0.75,Extorter,Insert,5,1,B,10,99,G,
0.75,Extorter,Insert,6,1,A,10,100,G,
0.75,,Insert,8,1,B,9,101,G,
0.75,Extorter,Trade,6,1,A,9,100,,-18
0.75,Extorter,Hedge,6,0,B,9,100.0,,
0.75,,Insert,9,1,A,9,99,G,
0.75,Random player,Trade,5,1,B,9,99,,-18
0.75,Random player,Hedge,5,0,A,9,100.0,,
1.0,,Insert,10,1,B,9,101,G,
1.0,Extorter,Trade,6,1,A,1,100,,-2
1.0,Extorter,Hedge,6,0,B,1,100.0,,
1.0,Random player,Trade,6,1,A,8,101,,-16
1.0,Random player,Hedge,6,0,B,8,100.0,,
1.0,,Insert,11,1,A,9,99,G,
1.0,Random player,Trade,5,1,B,1,99,,-2
1.0,Random player,Hedge,5,0,A,1,100.0,,
1.0,Extorter,Trade,5,1,B,8,99,,-16
1.0,Extorter,Hedge,5,0,A,8,100.0,,
1.016,Extorter,Cancel,5,,,-2,,,
1.016,Random player,Cancel,6,,,-2,,,
1.016,Extorter,Insert,7,1,B,10,99,G,
1.016,Extorter,Insert,8,1,A,10,101,G,
1.016,Random player,Insert,7,1,B,10,99,G,
1.016,Random player,Insert,8,1,A,10,101,G,
1.25,,Insert,12,1,B,9,101,G,
1.25,Extorter,Trade,8,1,A,9,101,,-18
1.25,Extorter,Hedge,8,0,B,9,100.0,,
1.25,,Insert,13,1,A,9,99,G,
1.25,Extorter,Trade,7,1,B,9,99,,-18
1.25,Extorter,Hedge,7,0,A,9,100.0,,
1.266,Random player,Cancel,7,,,-10,,,
1.266,Extorter,Cancel,7,,,-1,,,
1.266,Extorter,Cancel,8,,,-1,,,
1.266,Random player,Cancel,8,,,-10,,,
1.266,Random player,Insert,9,1,B,10,100,G,
1.266,Extorter,Insert,9,1,B,10,99,G,
1.266,Extorter,Insert,10,1,A,10,100,G,
1.266,Random player,Trade,9,1,B,10,100,,-20
1.266,Random player,Hedge,9,0,A,10,100.0,,
1.266,Extorter,Trade,10,1,A,10,100,,40
1.266,Extorter,Hedge,10,0,B,10,100.0,,
1.266,Random player,Insert,10,1,A,10,101,G,
1.5,Extorter,Cancel,9,,,-10,,,
1.5,Random player,Cancel,10,,,-10,,,
1.5,Extorter,Insert,11,1,B,10,100,G,
1.5,Extorter,Insert,12,1,A,10,101,G,
1.5,Random player,Insert,11,1,B,10,99,G,
1.5,Random player,Insert,12,1,A,10,101,G,
1.5,,Insert,14,1,B,9,101,G,
1.5,Extorter,Trade,12,1,A,9,101,,-18
1.5,Extorter,Hedge,12,0,B,9,100.0,,
1.5,,Insert,15,1,A,9,99,G,
1.5,Extorter,Trade,11,1,B,9,100,,-18
1.5,Extorter,Hedge,11,0,A,9,100.0,,
1.75,,Insert,16,1,B,9,101,G,
1.75,Extorter,Trade,12,1,A,1,101,,-2
1.75,Extorter,Hedge,12,0,B,1,100.0,,
1.75,Random player,Trade,12,1,A,8,101,,-16
1.75,Random player,Hedge,12,0,B,8,100.0,,
1.75,,Insert,17,1,A,9,99,G,
1.75,Extorter,Trade,11,1,B,1,100,,-2
1.75,Extorter,Hedge,11,0,A,1,100.0,,
1.75,Random player,Trade,11,1,B,8,99,,-16
1.75,Random player,Hedge,11,0,A,8,100.0,,
1.766,Random player,Cancel,11,,,-2,,,
1.766,Random player,Cancel,12,,,-2,,,
1.766,Random player,Insert,13,1,B,10,99,G,
1.766,Extorter,Insert,13,1,B,10,99,G,
1.766,Extorter,Insert,14,1,A,10,101,G,
1.766,Random player,Insert,14,1,A,10,100,G,
2.0,,Insert,18,1,B,9,101,G,
2.0,Random player,Trade,14,1,A,9,100,,-18
2.0,Random player,Hedge,14,0,B,9,100.0,,
2.0,,Insert,19,1,A,9,99,G,
2.0,Random player,Trade,13,1,B,9,99,,-18
2.0,Random player,Hedge,13,0,A,9,100.0,,
2.016,Random player,Cancel,13,,,-1,,,
2.016,Extorter,Cancel,13,,,-10,,,
2.016,Extorter,Cancel,14,,,-10,,,
2.016,Random player,Cancel,14,,,-1,,,
2.016,Random player,Insert,15,1,B,10,99,G,
2.016,Random player,Insert,16,1,A,10,100,G,
2.016,Extorter,Insert,15,1,B,10,99,G,
2.016,Extorter,Insert,16,1,A,10,100,G,
2.25,,Insert,20,1,B,9,101,G,
2.25,Random player,Trade,16,1,A,9,100,,-18
2.25,Random player,Hedge,16,0,B,9,100.0,,
2.25,,Insert,21,1,A,9,99,G,
2.25,Random player,Trade,15,1,B,9,99,,-18
2.25,Random player,Hedge,15,0,A,9,100.0,,
2.266,Random player,Cancel,15,,,-1,,,
2.266,Random player,Cancel,16,,,-1,,,
2.266,Extorter,Cancel,15,,,-10,,,
2.266,Extorter,Cancel,16,,,-10,,,
2.266,Extorter,Insert,17,1,B,10,100,G,
2.266,Extorter,Insert,18,1,A,10,101,G,
2.266,Random player,Insert,17,1,B,10,100,G,
2.266,Random player,Insert,18,1,A,10,101,G,
2.5,,Insert,22,1,B,9,101,G,
2.5,Extorter,Trade,18,1,A,9,101,,-18
2.5,Extorter,Hedge,18,0,B,9,100.0,,
2.5,,Insert,23,1,A,9,99,G,
2.5,Extorter,Trade,17,1,B,9,100,,-18
2.5,Extorter,Hedge,17,0,A,9,100.0,,
2.516,Extorter,Cancel,17,,,-1,,,
2.516,Extorter,Cancel,18,,,-1,,,
2.516,Random player,Cancel,17,,,-10,,,
2.516,Random player,Cancel,18,,,-10,,,
2.516,Extorter,Insert,19,1,B,10,100,G,
2.516,Extorter,Insert,20,1,A,10,101,G,
2.516,Random player,Insert,19,1,B,10,100,G,
2.516,Random player,Insert,20,1,A,10,101,G,
2.75,,Insert,24,1,B,9,101,G,
2.75,Extorter,Trade,20,1,A,9,101,,-18
2.75,Extorter,Hedge,20,0,B,9,100.0,,
2.75,,Insert,25,1,A,9,99,G,
2.75,Extorter,Trade,19,1,B,9,100,,-18
2.75,Extorter,Hedge,19,0,A,9,100.0,,
2.766,Extorter,Cancel,19,,,-1,,,
2.766,Extorter,Cancel,20,,,-1,,,
2.766,Random player,Cancel,19,,,-10,,,
2.766,Random player,Cancel,20,,,-10,,,
2.766,Extorter,Insert,21,1,B,10,99,G,
2.766,Extorter,Insert,22,1,A,10,100,G,
2.766,Random player,Insert,21,1,B,10,99,G,
2.766,Random player,Insert,22,1,A,10,101,G,
3.0,Random player,Cancel,21,,,-10,,,
3.0,Random player,Cancel,22,,,-10,,,
3.0,Extorter,Cancel,21,,,-10,,,
3.0,Extorter,Cancel,22,,,-10,,,
3.0,Extorter,Insert,23,1,B,10,99,G,
3.0,Extorter,Insert,24,1,A,10,101,G,
3.0,Random player,Insert,23,1,B,10,100,G,
3.0,Random player,Insert,24,1,A,10,101,G,
3.0,,Insert,26,1,B,9,101,G,
3.0,Extorter,Trade,24,1,A,9,101,,-18
3.0,Extorter,Hedge,24,0,B,9,100.0,,
3.0,,Insert,27,1,A,9,99,G,
3.0,Random player,Trade,23,1,B,9,100,,-18
3.0,Random player,Hedge,23,0,A,9,100.0,,
3.25,,Insert,28,1,B,9,101,G,
3.25,Extorter,Trade,24,1,A,1,101,,-2
3.25,Extorter,Hedge,24,0,B,1,100.0,,
3.25,Random player,Trade,24,1,A,8,101,,-16
3.25,Random player,Hedge,24,0,B,8,100.0,,
3.25,,Insert,29,1,A,9,99,G,
3.25,Random player,Trade,23,1,B,1,100,,-2
3.25,Random player,Hedge,23,0,A,1,100.0,,
3.25,Extorter,Trade,23,1,B,8,99,,-16
3.25,Extorter,Hedge,23,0,A,8,100.0,,
3.266,Extorter,Cancel,23,,,-2,,,
3.266,Random player,Cancel,24,,,-2,,,
3.266,Extorter,Insert,25,1,B,10,100,G,
3.266,Random player,Insert,25,1,B,10,100,G,
3.266,Random player,Insert,26,1,A,10,101,G,
3.266,Extorter,Insert,26,1,A,10,101,G,
3.5,,Insert,30,1,B,9,101,G,
3.5,Random player,Trade,26,1,A,9,101,,-18
3.5,Random player,Hedge,26,0,B,9,100.0,,
3.5,,Insert,31,1,A,9,99,G,
3.5,Extorter,Trade,25,1,B,9,100,,-18
3.5,Extorter,Hedge,25,0,A,9,100.0,,
3.516,Extorter,Cancel,25,,,-1,,,
3.516,Extorter,Cancel,26,,,-10,,,
3.516,Random player,Cancel,25,,,-10,,,
3.516,Random player,Cancel,26,,,-1,,,
3.516,Extorter,Insert,27,1,B,10,100,G,
3.516,Extorter,Insert,28,1,A,10,101,G,
3.516,Random player,Insert,27,1,B,10,99,G,
3.516,Random player,Insert,28,1,A,10,100,G,
3.516,Extorter,Trade,27,1,B,10,100,,-20
3.516,Extorter,Hedge,27,0,A,10,100.0,,
3.516,Random player,Trade,28,1,A,10,100,,40
3.516,Random player,Hedge,28,0,B,10,100.0,,
3.75,Random player,Cancel,27,,,-10,,,
3.75,Extorter,Cancel,28,,,-10,,,
3.75,Extorter,Insert,29,1,B,10,99,G,
3.75,Extorter,Insert,30,1,A,10,101,G,
3.75,Random player,Insert,29,1,B,10,100,G,
3.75,Random player,Insert,30,1,A,10,101,G,
3.75,,Insert,32,1,B,9,101,G,
3.75,Extorter,Trade,30,1,A,9,101,,-18
3.75,Extorter,Hedge,30,0,B,9,100.0,,
3.75,,Insert,33,1,A,9,99,G,
3.75,Random player,Trade,29,1,B,9,100,,-18
3.75,Random player,Hedge,29,0,A,9,100.0,,
4.0,,Insert,34,1,B,9,101,G,
4.0,Extorter,Trade,30,1,A,1,101,,-2
4.0,Extorter,Hedge,30,0,B,1,100.0,,
4.0,Random player,Trade,30,1,A,8,101,,-16
4.0,Random player,Hedge,30,0,B,8,100.0,,
4.0,,Insert,35,1,A,9,99,G,
4.0,Random player,Trade,29,1,B,1,100,,-2
4.0,Random player,Hedge,29,0,A,1,100.0,,
4.0,Extorter,Trade,29,1,B,8,99,,-16
4.0,Extorter,Hedge,29,0,A,8,100.0,,
4.016,Random player,Cancel,30,,,-2,,,
4.016,Extorter,Cancel,29,,,-2,,,
4.016,Extorter,Insert,31,1,B,10,99,G,
4.016,Extorter,Insert,32,1,A,10,101,G,
4.016,Random player,Insert,31,1,B,10,100,G,
4.016,Random player,Insert,32,1,A,10,101,G,
4.25,Random player,Cancel,31,,,-10,,,
4.25,Extorter,Cancel,31,,,-10,,,
4.25,Extorter,Cancel,32,,,-10,,,
4.25,Random player,Cancel,32,,,-10,,,
4.25,Random player,Insert,33,1,B,10,100,G,
4.25,Random player,Insert,34,1,A,10,101,G,
4.25,Extorter,Insert,33,1,B,10,99,G,
4.25,Extorter,Insert,34,1,A,10,100,G,
4.25,Random player,Trade,33,1,B,10,100,,-20
4.25,Random player,Hedge,33,0,A,10,100.0,,
4.25,Extorter,Trade,34,1,A,10,100,,40
4.25,Extorter,Hedge,34,0,B,10,100.0,,
4.25,,Insert,36,1,B,9,101,G,
4.25,Random player,Trade,34,1,A,9,101,,-18
4.25,Random player,Hedge,34,0,B,9,100.0,,
4.25,,Insert,37,1,A,9,99,G,
4.25,Extorter,Trade,33,1,B,9,99,,-18
4.25,Extorter,Hedge,33,0,A,9,100.0,,
4.5,,Insert,38,1,B,9,101,G,
