Time,Competitor,Operation,OrderId,Instrument,Side,Volume,Price,Lifespan,Fee
0.0,,Insert,46796119,0,B,8000,37618,G,
0.0,,Insert,46796123,0,B,1000,37619,G,
0.0,,Insert,46796135,0,A,90,37620,G,
0.0,,Insert,46796139,0,B,280,37619,G,
0.0,,Cancel,46796123,,,-1000,,,
0.0,,Cancel,46796119,,,-8000,,,
0.0,,Insert,46796147,0,B,1000,37619,G,
0.0,,Insert,46796207,0,B,1000,37619,G,
0.0,,Insert,46796667,0,A,1000,37620,G,
0.0,,Cancel,46796139,,,-280,,,
0.0,,Cancel,46796207,,,-1000,,,
0.0,,Insert,46796707,0,A,1000,37636,G,
0.0,,Cancel,46796707,,,-1000,,,
0.0,,Insert,46797351,0,B,160,37619,G,
0.0,,Insert,46797371,0,B,120,37619,G,
0.0,,Insert,46797375,0,B,1000,37619,G,
0.0,,Insert,46797639,0,B,1000,37619,G,
0.0,,Cancel,46796135,,,-90,,,
0.0,,Insert,46797643,0,B,40,37619,G,
0.0,,Cancel,46797643,,,-40,,,
0.0,,Cancel,46796667,,,-1000,,,
0.0,,Cancel,46797639,,,-1000,,,
0.0,,Insert,46799983,0,A,1000,40203,G,
0.0,,Insert,46799995,0,B,1000,34934,G,
0.0,,Insert,46800111,0,B,790,37620,G,
0.0,,Cancel,46800111,,,-790,,,
0.0,,Insert,46800675,0,A,1230,37621,G,
0.0,,Insert,46800679,0,A,1000,37620,G,
0.0,,Insert,46800683,0,A,1000,37621,G,
0.0,,Cancel,46800683,,,-1000,,,
0.0,,Insert,46800687,0,A,1000,37620,G,
0.0,,Insert,46800695,0,A,3000,37625,G,
0.0,,Insert,46800699,0,B,1000,37604,G,
0.0,,Cancel,46800687,,,-1000,,,
0.0,,Cancel,46799983,,,-1000,,,
0.0,,Insert,46800723,0,A,1000,40202,G,
0.0,,Insert,46800731,0,A,1000,37620,G,
0.0,,Cancel,46799995,,,-1000,,,
0.0,,Insert,46800743,0,B,1000,34933,G,
0.0,,Cancel,46797371,,,-120,,,
0.0,,Cancel,46797351,,,-160,,,
0.0,,Insert,46800787,0,A,90,37620,G,
0.0,,Cancel,46797375,,,-1000,,,
0.0,,Insert,46800859,0,B,3000,37608,G,
0.0,,Insert,46800863,0,A,3000,37639,G,
0.0,,Cancel,46796147,,,-1000,,,
0.0,,Insert,46801171,0,B,3000,37608,G,
0.0,,Insert,46801175,0,A,3000,37639,G,
0.0,,Cancel,46800743,,,-1000,,,
0.0,,Insert,46801275,0,B,1000,34932,G,
0.0,,Cancel,46801275,,,-1000,,,
0.0,,Insert,46801419,0,B,1000,34933,G,
0.0,,Cancel,46800675,,,-1230,,,
0.0,,Insert,46801891,0,A,1000,37637,G,
0.0,,Cancel,46800699,,,-1000,,,
0.0,,Insert,46802007,0,A,4000,37622,G,
0.0,,Insert,46802011,0,A,1000,37620,G,
0.0,,Insert,46802091,0,A,1000,37620,G,
0.0,,Cancel,46801419,,,-1000,,,
0.0,,Insert,46802195,0,B,1000,34932,G,
0.0,,Cancel,46802007,,,-4000,,,
0.0,,Insert,46802259,0,A,1000,37619,G,
0.0,,Cancel,46800723,,,-1000,,,
0.0,,Insert,46802263,0,A,1000,40201,G,
0.0,,Insert,46802271,0,A,3000,37621,G,
0.0,,Insert,46802275,0,A,1000,37619,G,
0.0,,Cancel,46800695,,,-3000,,,
0.0,,Cancel,46802259,,,-1000,,,
0.0,,Insert,46802367,0,B,8000,37618,G,
0.0,,Cancel,46802275,,,-1000,,,
0.0,,Insert,46802371,0,A,1000,37629,G,
0.0,,Insert,46802375,0,A,1000,37629,G,
0.0,,Cancel,46802011,,,-1000,,,
0.0,,Cancel,46802263,,,-1000,,,
0.0,,Insert,46802455,0,A,1000,40202,G,
0.0,,Cancel,46802367,,,-8000,,,
0.0,,Insert,46802731,0,B,4000,37615,G,
0.0,,Insert,46802747,0,A,1000,37620,G,
0.0,,Insert,46802755,0,A,1000,37619,G,
0.0,,Insert,46802759,0,A,90,37619,G,
0.0,,Insert,46802763,0,A,1000,37619,G,
0.0,,Cancel,46802375,,,-1000,,,
0.0,,Cancel,46802371,,,-1000,,,
