Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss
8e-06,Example,Tick,0,0,0,,,0,0,0
0.25004,Example,Tick,0,0,0,,36825,0,0,0
0.501031,Example,Tick,0,0,0,,36825,0,0,0
0.751036,Example,Tick,0,0,0,,36825,0,0,0
1.000307,Example,Tick,10,0,10,36818,36825,-37,32,-38
1.251038,Example,Tick,10,0,10,36818,36825,-37,32,-38
1.501034,Example,Tick,10,0,10,36818,36824,-37,32,-28
1.75103,Example,Tick,10,0,10,36818,36824,-37,32,-28
2.001016,Example,Tick,10,0,10,36818,36827,-37,32,-58
2.25103,Example,Tick,20,0,20,36823,36827,-74,94,14
2.501054,Example,Tick,20,0,20,36823,36827,-74,94,14
2.750038,Example,Tick,20,10,10,36829,36827,-111,116,136
3.001032,Example,Tick,40,10,30,36824,36831,-185,230,20
3.251032,Example,Tick,40,10,30,36824,36831,-185,230,20
3.501032,Example,Tick,40,10,30,36824,36831,-185,230,20
3.750613,Example,Tick,40,20,20,36829,36831,-222,237,197
4.000045,Example,Tick,40,20,20,36829,36832,-222,237,177
4.250041,Example,Tick,50,20,30,36830,36832,-259,299,239
4.500046,Example,Tick,50,30,20,36830,36832,-185,200,160
4.751027,Example,Tick,50,40,10,36830,36832,-111,116,96
5.000964,Example,Tick,50,40,10,36830,36832,-111,116,96
5.251029,Example,Tick,60,50,10,36828,36830,-74,109,89
5.501025,Example,Tick,70,50,20,36826,36830,0,80,0
5.751028,Example,Tick,80,50,30,36826,36830,74,56,-64
6.000876,Example,Tick,80,50,30,36826,36830,74,56,-64
6.251028,Example,Tick,80,50,30,36826,36833,74,56,-154
6.500041,Example,Tick,80,50,30,36826,36832,74,56,-124
6.751028,Example,Tick,80,50,30,36826,36832,74,56,-124
7.001031,Example,Tick,80,60,20,36830,36832,37,73,33
7.251033,Example,Tick,80,60,20,36830,36832,37,73,33
7.500038,Example,Tick,80,70,10,36830,36833,111,-16,-46
7.751033,Example,Tick,81,70,11,36832,36833,118,-21,-32
8.001032,Example,Tick,81,70,11,36832,36833,118,-21,-32
8.251028,Example,Tick,81,70,11,36832,36831,118,-21,-10
8.501028,Example,Tick,81,70,11,36832,36831,118,-21,-10
8.750042,Example,Tick,81,70,11,36832,36831,118,-21,-10
9.00005,Example,Tick,81,70,11,36832,36831,118,-21,-10
9.250214,Example,Tick,81,70,11,36832,36831,118,-21,-10
9.501025,Example,Tick,81,70,11,36832,36832,118,-21,-21
9.751025,Example,Tick,81,70,11,36832,36832,118,-21,-21
10.000041,Example,Tick,91,70,21,36829,36832,81,31,-32
10.251039,Example,Tick,91,70,21,36829,36832,81,31,-32
10.501033,Example,Tick,91,70,21,36829,36834,81,31,-74
10.750033,Example,Tick,91,70,21,36829,36834,81,31,-74
11.001026,Example,Tick,91,70,21,36829,36834,81,31,-74
11.251029,Example,Tick,91,70,21,36829,36834,81,31,-74
11.501121,Example,Tick,91,70,21,36829,36833,81,31,-53
11.751028,Example,Tick,91,70,21,36829,36833,81,31,-53
12.001031,Example,Tick,91,70,21,36829,36833,81,31,-53
12.25103,Example,Tick,91,70,21,36829,36833,81,31,-53
12.500053,Example,Tick,91,70,21,36829,36833,81,31,-53
12.751031,Example,Tick,101,70,31,36828,36833,44,93,-62
13.001038,Example,Tick,111,70,41,36829,36834,7,170,-35
13.250182,Example,Tick,121,80,41,36838,36834,44,143,307
13.500045,Example,Tick,121,80,41,36838,36834,44,143,307
13.751033,Example,Tick,121,80,41,36838,36834,44,143,307
14.00103,Example,Tick,121,80,41,36838,36834,44,143,307
14.250568,Example,Tick,121,90,31,36840,36834,7,145,331
14.501025,Example,Tick,121,90,31,36840,36834,7,145,331
14.750033,Example,Tick,121,90,31,36840,36834,7,145,331
15.00103,Example,Tick,121,100,21,36831,36834,-30,162,99
15.251034,Example,Tick,121,110,11,36834,36833,44,93,104
15.501032,Example,Tick,121,120,1,36834,36833,118,34,35
15.751025,Example,Tick,121,130,-9,36837,36833,192,-15,-51
16.001027,Example,Tick,121,140,-19,36834,36833,266,-54,-73
16.250056,Example,Tick,131,150,-19,36827,36832,303,-66,29
16.50103,Example,Tick,131,150,-19,36827,36833,303,-66,48
16.750034,Example,Tick,131,150,-19,36827,36833,303,-66,48
17.00053,Example,Tick,131,150,-19,36827,36833,303,-66,48
17.2503,Example,Tick,131,150,-19,36827,36833,303,-66,48
17.500057,Example,Tick,131,150,-19,36827,36833,303,-66,48
17.751033,Example,Tick,131,150,-19,36827,36831,303,-66,10
18.000047,Example,Tick,141,150,-9,36826,36831,266,-44,1
18.250162,Example,Tick,141,150,-9,36826,36831,266,-44,1
18.501032,Example,Tick,141,150,-9,36826,36834,266,-44,28
18.750031,Example,Tick,151,150,1,36832,36838,340,-93,-99
19.000299,Example,Tick,161,150,11,36832,36838,414,-122,-188
19.251027,Example,Tick,171,150,21,36832,36835,488,-161,-224
19.50004,Example,Tick,176,150,26,36832,36835,525,-186,-264
19.751039,Example,Tick,176,150,26,36832,36835,525,-186,-264
20.001032,Example,Tick,176,160,16,36840,36834,488,-164,-68
20.251029,Example,Tick,176,160,16,36840,36834,488,-164,-68
20.501028,Example,Tick,176,168,8,36833,36834,459,-139,-147
20.750039,Example,Tick,176,168,8,36833,36834,459,-139,-147
21.000807,Example,Tick,176,168,8,36833,36834,459,-139,-147
21.251031,Example,Tick,176,170,6,36834,36829,452,-125,-95
21.501034,Example,Tick,176,178,-2,36830,36829,423,-92,-94
21.751039,Example,Tick,176,178,-2,36830,36829,423,-92,-94
22.000889,Example,Tick,176,178,-2,36830,36829,423,-92,-94
22.250035,Example,Tick,176,178,-2,36830,36828,423,-92,-96
22.501031,Example,Tick,176,188,-12,36830,36828,497,-151,-175
22.751029,Example,Tick,176,188,-12,36830,36828,497,-151,-175
23.001029,Example,Tick,176,198,-22,36832,36828,571,-200,-288
23.250186,Example,Tick,176,208,-32,36830,36827,645,-239,-335
23.50103,Example,Tick,176,208,-32,36830,36827,645,-239,-335
23.750044,Example,Tick,176,208,-32,36830,36826,645,-239,-367
24.001026,Example,Tick,176,208,-32,36830,36827,645,-239,-335
24.251004,Example,Tick,176,208,-32,36830,36827,645,-239,-335
24.50104,Example,Tick,186,208,-22,36832,36831,719,-338,-360
24.750037,Example,Tick,196,208,-12,36832,36831,793,-422,-434
25.000043,Example,Tick,206,208,-2,36832,36831,867,-496,-498
25.251036,Example,Tick,206,208,-2,36832,36831,867,-496,-498
25.50103,Example,Tick,206,208,-2,36832,36831,867,-496,-498
25.751032,Example,Tick,206,208,-2,36832,36831,867,-496,-498
26.000035,Example,Tick,206,218,-12,36830,36831,941,-545,-533
26.251134,Example,Tick,206,228,-22,36830,36831,1015,-594,-572
26.50004,Example,Tick,206,238,-32,36830,36831,1089,-633,-601
26.750046,Example,Tick,206,238,-32,36830,36831,1089,-633,-601
27.001039,Example,Tick,206,238,-32,36830,36831,1089,-633,-601
27.250033,Example,Tick,216,238,-22,36830,36828,1052,-631,-675
27.501029,Example,Tick,216,238,-22,36830,36828,1052,-631,-675
27.751038,Example,Tick,216,238,-22,36830,36828,1052,-631,-675
28.000043,Example,Tick,216,238,-22,36832,36828,1052,-631,-719
28.251025,Example,Tick,216,238,-22,36832,36828,1052,-631,-719
28.500041,Example,Tick,216,238,-22,36832,36828,1052,-631,-719
28.750045,Example,Tick,224,238,-14,36832,36828,1111,-710,-766
